Customer: 1038,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65
Data Pulled: Jun 09 2024 23:00:00 - Jun 14 2024 22:59:59,,,,Total Secs:,216000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Analysis Window: Mon,Tue,Wed,Th,Fri, 8:00 to 20:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Host Name,Model,CPU %Utilization,,,,,,,,,,,,,,Memory %Utilization,,,,,All Network Traffic,,,,,,,,PCoIP Statistics,,,,,,,,,,,,,,NVIDIA %Utilization,,,,,,,,Local Disk (workstation internal drives),,,,,,,,,,,,,,
,,#Cores,"Core
Highest
min","Core
Highest
max","Core
Highest
avg","Core
# oc > 80%","Core 
Total Seconds > 80%","Core 
Total Time > 80%","CPU
Highest
min","CPU
Highest
max","CPU
Highest
avg","
CPU# oc > 80%","
CPU
Total Seconds > 80%","
CPU
% Interval > 80%","
CPU
Total Time > 80%","Total RAM
(GB)",min,max,avg,#oc > 80%,"send min
MB/Sec","send max
MB/Sec","send avg
MB/Sec","receive min
MB/Sec","receive max
MB/Sec","receive avg
MB/Sec","Total MB
Sent","Total MB
Received","tx min
MB/Sec","tx max
MB/Sec","tx avg 
MB/Sec","Total MB
sent","rx min
MB/Sec","rx max
MB/Sec","rx avg
MB/Sec","Total MB
received","rx 
% packet loss
min","rx 
% packet loss
max","rx 
% packet loss
avg","tx 
% packet loss
min","tx 
% packet loss
max","tx 
% packet loss
avg","GPU
min","GPU
max","GPU
avg","GPU
#oc > 80%","MEM
min","MEM
max","MEM
avg","MEM
#oc > 80%","Read MB
min","Read MB
max","Read MB
avg","Write MB
min","Write MB
max","Write MB
avg","Read IOPs
min","Read IOPs
max","Read IOPs
avg","Write IOPs
min","Write IOPs
max","Write IOPs
avg","Free MB
min","Free MB
max","Free MB
avg"
ld71r18u44dws,,24,3.17361111111112,67.70833333333334,39.815863962563,0,0,,2.01317620491967,28.9639756944444,18.0807847747114,0,0,0,,68.410642432,11.55436561183733,16.44613277705055,12.51275537020771,0,0.0006543333333333333,1.289013722222222,0.002158904307703852,4.546666666666666e-05,7.664058488888887,0.006977527676252502,832.1846683778874,1446.804229656907,0,0,0,0,0,0,0,0,,,0,,,0,0,0,20.1234,0,1,63,29.44256410256411,0,0,22.2641664,0.0267869318449744,0.004727466666666666,109.4738545777778,0.1957028503424051,0,387.6111111111111,0.6945924877828585,0.2555555555555555,3433.177777777777,7.658478260909312,1934804.123648,1938792.906752,1937925.943443036
ld71r16u15ws,,28,1.55555555555557,88.2638888888889,24.7140567507901,1,120,2m,9.0626240079365,89.6902281746031,89.1320136703508,1,120,3,2m,137.152974848,6.937556662219748,9.765903521118787,7.367855254774653,0,0.0007354333333333332,1.8675351,0.002226264855098132,0.0001107666666666667,1.186898133333333,0.002160955289381477,632.0265548067528,1529.862472338883,0,0,0,0,0,0,0,0,,,0,,,0,0,3,13.54321,0,1,67,28.44307692307695,0,0,11.65377991111111,0.02748769263256954,0.004869688888888888,33.58046435555555,0.1015882601492755,0,361.1333333333333,0.7971566860460709,0.3333333333333333,2235.111111111111,5.775185539717302,884693.008384,888918.769664,888200.1911513929
ld71r18u44fws,,24,2.32986111111111,76.47569444444444,13.92255234648563,0,0,,0.0376157407407476,25.69073266601562,15.3746751110908,0,0,0,,68.410642432,11.45298742047048,33.19275980571456,22.17039750277902,0,0.0007169666666666666,7.024492088888889,0.01418143975873829,6.385555555555554e-05,5.698139955555554,0.01129140334394593,3757.863341558264,3770.940366416131,0,0.09894307077722221,0.002031529892100265,478.6987495811388,0,0.008708333333333332,0.0004522825788425555,106.4083749559543,0,52.97906602254429,0.7732412745807539,0,9.879931389365352,0.0885484379787249,0,46,4.12108773730133,0,0,67,13.45253976398152,0,0,37.10994204444444,0.05513587204148593,0.01267484444444444,29.74225066666666,0.1362020958120002,0,1174.633333333333,1.514983025775233,0.7,773.9333333333333,9.953794431535162,1901783.416832,1908370.571264,1903922.564569666
ld71r16u13ws,,28,0.2604166666666714,63.87152777777778,0.460464852049355,0,0,,2.03658234126986,97.5086805555555,79.1286194268527,4,480,5,8m,137.152974848,5.73005875863042,9.10721590242062,6.815193461837012,0,0.0006872222222222222,1.882855766666666,0.002062169567319724,0.0001093444444444444,7.94007911111111,0.006254171249412643,859.6917818945999,2707.836391279287,0,0.086998269,4.461449692307692e-05,32.56557182614331,0,0.003714896972222223,1.90507537037037e-06,1.707452728028479,0,0,0,0,0,0,0,9,71.0046153846153,0,0,83,31.60666666666659,4,0,17.02611057777778,0.02932095306725139,0.001683911111111111,23.07064604444444,0.1796963446472208,0,273.8333333333333,0.7559088194539725,0.2222222222222222,1027.211111111111,7.632517799385048,870311.788544,883149.504512,874526.4324986093
ld71r18u44bws,,24,16.1215277777777,98.2083333333333,72.7926838412546,3,360,6m,13.0224247685185,99.7157118055556,76.9876,4,480,5,8m,68.410642432,12.64670185285829,47.22088620657261,19.01565039801557,0,0.000690411111111111,0.2883761888888889,0.002530905624219849,4.739999999999999e-05,43.53873621111111,0.05867347305646604,803.9446746331784,17003.17031116769,0,0.1087134666666667,0.001051115616048647,243.6405147670019,0,0.006684222222222222,0.0001388964544531852,32.39421175769368,0,0.5235602094240838,0.06187890784997201,0,2.775290957923008,0.2553458361097605,0,95,9.71523858388917,3,0,86,27.53206772703957,4,0,55.05196942222222,0.3328132185721953,0.006735644444444443,166.8798976,0.9533874239736574,0,1612.644444444444,11.01206522889134,0.2333333333333333,4246.977777777777,30.06449424662314,1894473.793536,1932173.246464,1922446.341318499
ld71r18u44cws,,24,0.1562500000000142,66.66666666666667,19.6809278750166,0,0,,3.01953125,6.762876157407419,4.09086250394348,0,0,0,,68.410642432,18.44604093075621,24.20791103147639,19.80702378147372,0,0.0006558,13.10079812222222,0.009370947994484928,4.993333333333333e-05,7.849437544444443,0.007433341603863636,1907.203541160656,2480.276325226691,0,0,0,0,0,0,0,0,,,0,,,0,0,1,52.005641025641,0,2,79,28.98307692307695,0,0,24.19463964444444,0.03237781246339842,0.01055857777777778,43.13786026666666,0.136005751646778,0,244.0222222222222,0.553435911123745,0.9999999999999999,1126.944444444444,6.104889690264859,1924167.368704,1930453.581824,1928751.998398359
ld71r16u14ws,,28,0.104166666666686,83.59375,79.6832282379199,2,240,4m,2.0669642857143,85.8965773809523,30.1355597990441,2,240,4,4m,137.152974848,9.842496910446599,12.48751777420871,10.24147126308064,0,0.0007201555555555554,1.8716937,0.002964882205544757,0.0001100555555555555,7.89848611111111,0.005969137251075539,1063.412555656252,2309.490603607732,0,0,0,0,0,0,0,0,,,0,,,0,0,1,14.0030769230769,0,2,36,18.18512820512822,0,0,20.59878399999999,0.02718428730226287,0.002821688888888888,44.11428408888889,0.1815187907830742,0,206.8333333333333,0.6545314335525053,0.2555555555555555,1529.533333333333,9.014483663101391,880162.111488,884953.055232,882812.118462359
ld71r18u44ews,,24,12.2777777777777,43.6563763020833,38.3885873544324,0,0,,4.02097800925926,39.78067301432292,18.8210351144142,0,0,0,,0,7.857947431707572,10.41146600995569,7.935382685246907,0,0.000704311111111111,0.01455447777777778,0.001011656942132642,5.099999999999999e-05,0.06150159999999999,0.001285768816759496,216.1334385042923,360.3143455911674,0,0.003753968131666667,7.026705682098765e-05,132.6466425016733,0,0.0005637924349999999,1.11301562654321e-05,16.06305184547217,0,0,0,0,0,0,0,0,37.16543,0,9,45,29.28301886792453,0,0,2.413556622222222,0.04856348246913579,0.005563733333333333,1.228373333333333,0.04706056520528531,0,96.29999999999998,1.939006512345679,0.6777777777777777,74.35555555555554,3.395697648219568,1886902.02624,1886946.066432,1886943.333338074
,,,,,,,,,,,,,,,,,,,,,,,,,,Total(MB):,10072.460556591883,31608.695045284487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Avg Total MB/sec:,0.04663176183607353,0.14633655113557634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Avg WS MB/sec:,0.005828970229509191,0.018292068891947042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
